model,task,clf,metric,fold,score_cv,k
esmc_300M,disorder_global,MLP,mcc,7,0.2327,15
esmc_300M,disorder_global,MLP,mcc,8,0.2303,15
esmc_300M,disorder_global,MLP,mcc,9,0.1998,15
esmc_300M,disorder_global,MLP,mcc,10,0.1994,15
esmc_300M,disorder_global,MLP,mcc,11,0.3792,15
esmc_300M,disorder_global,MLP,mcc,12,0.1709,15
esmc_300M,disorder_global,MLP,mcc,13,0.2329,15
esmc_300M,disorder_global,MLP,mcc,14,0.0625,15
esmc_300M,acc_mean,LogReg,mcc,0,0.6616,15
esmc_300M,acc_mean,LogReg,mcc,1,0.7257,15
esmc_300M,acc_mean,LogReg,mcc,2,0.76,15
esmc_300M,acc_mean,LogReg,mcc,3,0.7257,15
esmc_300M,acc_mean,LogReg,mcc,4,0.6315,15
esmc_300M,acc_mean,LogReg,mcc,5,0.6004,15
esmc_300M,acc_mean,LogReg,mcc,6,0.6315,15
esmc_300M,acc_mean,LogReg,mcc,7,0.7555,15
esmc_300M,acc_mean,LogReg,mcc,8,0.6619,15
esmc_300M,acc_mean,LogReg,mcc,9,0.7235,15
esmc_300M,acc_mean,LogReg,mcc,10,0.5691,15
esmc_300M,acc_mean,LogReg,mcc,11,0.8464,15
esmc_300M,acc_mean,LogReg,mcc,12,0.6019,15
esmc_300M,acc_mean,LogReg,mcc,13,0.5964,15
esmc_300M,acc_mean,LogReg,mcc,14,0.6299,15
esmc_300M,acc_mean,RF,mcc,0,0.603,15
esmc_300M,acc_mean,RF,mcc,1,0.6307,15
esmc_300M,acc_mean,RF,mcc,2,0.7152,15
esmc_300M,acc_mean,RF,mcc,3,0.6922,15
esmc_300M,acc_mean,RF,mcc,4,0.5691,15
esmc_300M,acc_mean,RF,mcc,5,0.6981,15
esmc_300M,acc_mean,RF,mcc,6,0.5384,15
esmc_300M,acc_mean,RF,mcc,7,0.7876,15
esmc_300M,acc_mean,RF,mcc,8,0.5384,15
esmc_300M,acc_mean,RF,mcc,9,0.5698,15
esmc_300M,acc_mean,RF,mcc,10,0.4813,15
esmc_300M,acc_mean,RF,mcc,11,0.6062,15
esmc_300M,acc_mean,RF,mcc,12,0.4781,15
esmc_300M,acc_mean,RF,mcc,13,0.6187,15
esmc_300M,acc_mean,RF,mcc,14,0.6566,15
esmc_300M,acc_mean,MLP,mcc,0,0.6322,15
esmc_300M,acc_mean,MLP,mcc,1,0.6687,15
esmc_300M,acc_mean,MLP,mcc,2,0.6981,15
esmc_300M,acc_mean,MLP,mcc,3,0.7311,15
esmc_300M,acc_mean,MLP,mcc,4,0.6981,15
esmc_300M,acc_mean,MLP,mcc,5,0.7265,15
esmc_300M,acc_mean,MLP,mcc,6,0.6,15
esmc_300M,acc_mean,MLP,mcc,7,0.9117,15
esmc_300M,acc_mean,MLP,mcc,8,0.6933,15
esmc_300M,acc_mean,MLP,mcc,9,0.6315,15
esmc_300M,acc_mean,MLP,mcc,10,0.54,15
esmc_300M,acc_mean,MLP,mcc,11,0.7876,15
esmc_300M,acc_mean,MLP,mcc,12,0.5743,15
esmc_300M,acc_mean,MLP,mcc,13,0.7847,15
esmc_300M,acc_mean,MLP,mcc,14,0.6011,15
esmc_300M,aggregation_score,LogReg,mcc,0,0.6307,15
esmc_300M,aggregation_score,LogReg,mcc,1,0.446,15
esmc_300M,aggregation_score,LogReg,mcc,2,0.4773,15
esmc_300M,aggregation_score,LogReg,mcc,3,0.5076,15
esmc_300M,aggregation_score,LogReg,mcc,4,0.5388,15
esmc_300M,aggregation_score,LogReg,mcc,5,0.5388,15
esmc_300M,aggregation_score,LogReg,mcc,6,0.49,15
esmc_300M,aggregation_score,LogReg,mcc,7,0.3845,15
esmc_300M,aggregation_score,LogReg,mcc,8,0.4179,15
esmc_300M,aggregation_score,LogReg,mcc,9,0.5105,15
esmc_300M,aggregation_score,LogReg,mcc,10,0.4463,15
esmc_300M,aggregation_score,LogReg,mcc,11,0.6,15
esmc_300M,aggregation_score,LogReg,mcc,12,0.4554,15
esmc_300M,aggregation_score,LogReg,mcc,13,0.408,15
esmc_300M,aggregation_score,LogReg,mcc,14,0.6875,15
esmc_300M,aggregation_score,RF,mcc,0,0.5076,15
esmc_300M,aggregation_score,RF,mcc,1,0.3266,15
esmc_300M,aggregation_score,RF,mcc,2,0.5698,15
esmc_300M,aggregation_score,RF,mcc,3,0.4463,15
esmc_300M,aggregation_score,RF,mcc,4,0.5105,15
esmc_300M,aggregation_score,RF,mcc,5,0.4505,15
esmc_300M,aggregation_score,RF,mcc,6,0.4813,15
esmc_300M,aggregation_score,RF,mcc,7,0.1998,15
esmc_300M,aggregation_score,RF,mcc,8,0.4713,15
esmc_300M,aggregation_score,RF,mcc,9,0.2926,15
esmc_300M,aggregation_score,RF,mcc,10,0.4773,15
esmc_300M,aggregation_score,RF,mcc,11,0.49,15
esmc_300M,aggregation_score,RF,mcc,12,0.4179,15
esmc_300M,aggregation_score,RF,mcc,13,0.315,15
esmc_300M,aggregation_score,RF,mcc,14,0.469,15
esmc_300M,aggregation_score,MLP,mcc,0,0.5743,15
esmc_300M,aggregation_score,MLP,mcc,1,0.5698,15
esmc_300M,aggregation_score,MLP,mcc,2,0.5438,15
esmc_300M,aggregation_score,MLP,mcc,3,0.603,15
esmc_300M,aggregation_score,MLP,mcc,4,0.5691,15
esmc_300M,aggregation_score,MLP,mcc,5,0.509,15
esmc_300M,aggregation_score,MLP,mcc,6,0.5459,15
esmc_300M,aggregation_score,MLP,mcc,7,0.4463,15
esmc_300M,aggregation_score,MLP,mcc,8,0.3845,15
esmc_300M,aggregation_score,MLP,mcc,9,0.5691,15
esmc_300M,aggregation_score,MLP,mcc,10,0.4189,15
esmc_300M,aggregation_score,MLP,mcc,11,0.6648,15
esmc_300M,aggregation_score,MLP,mcc,12,0.4796,15
